id,pricelist
10125,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11120,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11154,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11155,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11166,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11176,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
8858,27076
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27166
,27172
,27181
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27286
8198,27076
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27166
,27172
,27181
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27286
9039,27076
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27166
,27172
,27181
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27286
11214,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11218,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11219,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11224,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11250,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11259,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11273,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
7835,27076
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27166
,27172
,27181
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27286
7182,27074
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27164
,27172
,27179
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27284
11317,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11353,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11361,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
8423,27076
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27166
,27172
,27181
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27286
11366,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11371,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
8170,27076
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27166
,27172
,27181
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27286
6988,27076
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27166
,27172
,27181
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27286
7851,27076
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27166
,27172
,27181
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27286
8359,27074
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27164
,27172
,27179
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27284
8881,27076
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27166
,27172
,27181
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27286
8115,27076
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27166
,27172
,27181
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27286
8940,27076
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27166
,27172
,27181
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27286
11431,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11438,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
6337,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27137
,27160
,27163
,27169
,27170
,27184
,27185
,27205
,27209
,27212
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
9781,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27137
,27160
,27163
,27169
,27170
,27184
,27185
,27205
,27209
,27212
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
10536,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27137
,27160
,27163
,27169
,27170
,27184
,27185
,27205
,27209
,27212
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11462,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11495,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11504,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
8737,27075
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27165
,27172
,27180
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27285
11563,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27138
,27160
,27163
,27169
,27170
,27184
,27186
,27205
,27209
,27213
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
6438,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27137
,27160
,27163
,27169
,27170
,27184
,27185
,27205
,27209
,27212
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
9153,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27137
,27160
,27163
,27169
,27170
,27184
,27185
,27205
,27209
,27212
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
9679,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27137
,27160
,27163
,27169
,27170
,27184
,27185
,27205
,27209
,27212
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
11281,27075
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27165
,27172
,27180
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27285
6975,27076
,27080
,27082
,27092
,27107
,27119
,27129
,27145
,27157
,27162
,27166
,27172
,27181
,27193
,27204
,27208
,27220
,27234
,27242
,27246
,27250
,27254
,27258
,27267
,27277
,27286
10106,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27137
,27160
,27163
,27169
,27170
,27184
,27185
,27205
,27209
,27212
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
6750,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27137
,27160
,27163
,27169
,27170
,27184
,27185
,27205
,27209
,27212
,27232
,27245
,27249
,27253
,27255
,27256
,27265
,27275
,27289
12024,27079
,27081
,27086
,27097
,27111
,27117
,27127
,27137
,27160
,27163
,27169
,27170
,27184
,27185
,27205
,27209
,27212
,27232
,27245
,27249
,27253
,27255
,27256
,27265
